"Date_entry","Region","District_ad","Address","Metro","Dist_metro_ad","Rooms","Price","Minimum_duration","No_agents","Building","Area_total","Area_living","Area_kitchen","Floor","NFloor","Lift","Furnished","Bath","Refurbished","Balcony","Latitude","Longitude","Year_construction"
"2017-05-01","gorod Sankt-Peterburg","Петроградский","Барочная ул., 12","Chkalovskaya",60,"2",80000,"","","Monolit",60,45,1,10,"11","Est'","Sbor.+kuh.garn.","","","Balkon",59.969957,30.287637,
"2017-02-27","gorod Sankt-Peterburg","Василеостровский","Кораблестроителей ул., 30","Primorskaya",1050,"2",80000,"","","Kirp.Monolit",100,79,20,13,"18","Est'","","","Proizveden","",59.95163,30.216585,
"2017-06-22","gorod Sankt-Peterburg","Невский","Караваевская ул., 28к1","Rybackoe",590,"1",20999,"11 mes.","","Monolit",39,17,10,12,"27","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","Balkon",59.832037,30.510362,
"2016-11-01","gorod Sankt-Peterburg","Центральный","Коломенская ул., 9","Vladimirskaya",430,"2",40000,"","","Kirpichnyi",52,33,9,3,"3","Net","","","Proizveden","",59.925257,30.354227,
"2017-02-08","gorod Sankt-Peterburg","Невский","Бадаева ул., 8к2","Bol'shevikov pr.",70,"1",21000,"6 mes.","","Kirpichnyi",36,18,9,2,"14","Net","Sbor.+kuh.garn.","","Evrostandart","Lodjiya",59.916577,30.448843,
"2017-06-03","gorod Sankt-Peterburg","Выборгский","Энгельса пр., 128","Ozerki",80,"2",35000,"11 mes.","Da","Kirpichnyi",60,48,,7,"11","Est'","Sbornaya Sovr.","Otdel'naya","Evrostandart","",60.042761,30.32628,
"2016-05-31","gorod Sankt-Peterburg","Василеостровский","Беринга ул., 23к1","Primorskaya",530,"3",90000,"","","Kirp.Monolit",,140,70,,"","","Est'","Est'","","est'",59.944557,30.239556,
"2017-02-21","gorod Sankt-Peterburg","Кировский","Краснопутиловская ул., 36","Avtovo",90,"3",22000,"","","Blochnyi",43,32,6,3,"5","Net","Sbor.+kuh.garn.","","Trebuetsya","Net",59.868085,30.275435,
"2016-02-17","gorod Sankt-Peterburg","Центральный","Кирочная ул. 64","Chernyshevskaya",1520,"3",150000,"","","",100,60,18,7,"12","Net","Sbornaya Sovr.","","","",,,
"2017-06-23","gorod Sankt-Peterburg","Приморский","Долгоозерная ул., 14","Komendantskii pr.",190,"2",40000,"11 mes.","","Kirpichnyi",68,38,12.5,11,"15","Net","Sbor.+kuh.garn.","","Evrostandart","Zasteklennyi balkon",60.017158,30.246485,
